id,title,price(USD),building_area(m²),land_area(m²),bedrooms,location
34cb49b151_0.webp,"Prime 124,000 m² Land in The Grange, Harare North",2000000,0,124000,4633,The Grange
a7122964f2_0.webp,Elegant 3-Bedroom Townhouse in Prime Borrowdale,260000,160,500,3,Borrowdale
bcc466ac9f_0.webp,Lets go farming,110000,0,280000,,
4b9395338e_0.webp,Pomona City Stands,92950,500,800,,Borrowdale
15ff8cc8cf_0.webp,A house at a spacious yard for sale in Greendale,260000,4382,5200,4,Greendale
f241ec2448_0.webp,"Views, Vibes Value. Burnside",130000,3636,4040,3,Bulawayo
352dee479b_0.webp,Versatile Industrial Property For Sale Willowvale,700000,5200,5200,,Harare
b8adb58b30_0.webp,"Prime Commercial Property for Sale  Simon Mazorodze Road Frontage, Harare",795000,400,3636,,Harare
df0dfe3494_0.webp,Investors Delight,65000,2176,2176,,Harare
7f0866c38c_0.webp,Residential Stand For Sale in Pomona,75000,0,2000,,Harare
06c23d80ec_0.webp,NEW ON THE MARKET-6 Bedroomed with lots of potential,195000,600,3024,6,Harare
302daae875_0.webp,Elegant Double Storey Home,950000,600,4300,5,Harare
706d23f5ef_0.webp,A Delightful and Comfortable Family Home On Show,650000,300,4403,3,Harare
82c4eab348_0.webp,Shop Space For Sale In Norton Twinlakes,33000,40,40,,
d0f027439d_0.webp,Mufakose Commercial Property,155000,389,389,,Mufakose
25b0d8e106_0.webp,Prime 7000 m² Commercial Land in Chitungwiza dont Miss Out,75000,0,7000,,
616af0d2ab_0.webp,"Expansive 17,000m² Plot Land in Glen Forest, Harare North",170000,0,17000,,Harare
0e34b3ddfd_0.webp,Stunning 3-Bedroom Townhouse in Vainona with Borehole,250000,139,500,3,Harare
0172c96b38_0.webp,Great investment opportunity,480000,0,10000,6,Harare
fe8efdf405_0.webp,Commercial property for sale,600000,1243,1998,,Harare
fd7e4a19eb_0.webp,"Spacious 4-Bedroom Family Home in Serene Belvedere, Harare",310000,310,1910,4,Belvedere
0d3dee5bf1_0.webp,Elevated Elegance,320000,300,4367,4,Bulawayo
89317673bf_0.webp,"13 Hectare Residential Land for Sale in Glaudina, Harare West",1500000,0,130000,,Harare
76240d6a03_0.webp,Neat 3 Bedroom Townhouse in Newlands,280000,300,43250,3,Newlands
794ec2f22b_0.webp,AMTON PLACE- Only 1 Unit Available,345000,200,215,4,Harare
9434f345f2_0.webp,New Cluster development,425000,250,43250,4,Highlands
ceac0d1e64_0.webp,Neat and cozy,55000,180,200,3,Harare
aa3f2cef4b_0.webp,"1300 m² Land for Sale in Norton, Mashonaland West",25000,0,1300,,
980b98c70e_0.webp,Industrial Powerhouse in Ruwa,280000,700,2006,,Harare
f3703307cd_0.webp,Great Investment Opportunity,250000,600,2000,2,Harare
c36c1d0dd1_0.webp,"Residential Land for Sale in Pomona, Nyeredzi Ridge Harare -",50000,0,500,,Harare
5e4163b586_0.webp,House For Sale In Chisipite,550000,250,4047,4,Harare
0833fa94ca_0.webp,Spacious 4-Bedroom Family Home for sale in Belvedere,210000,400,1374,4,Belvedere
8d696ecbd0_0.webp,Luxury Meets Serenity in This Stunning Home in Mt Pleasant Broadlands,385000,2000,2000,4,Mt Pleasant
47e4f25fef_0.webp,Exceptional Home On The Hill With Stunning Views,635000,250,5133,2,Harare
8d83eedfae_0.webp,2 Bedroom Flat in Upper Avenues,120000,0,2200,2,Harare
c9a328ee64_0.webp,Residential stand for sale,95000,0,2000,,Harare
df14adba76_0.webp,Avondale Townhouse In Good Complex with Mature Garden,245000,600,7771,3,Avondale
57f9af3f5e_0.webp,Mabvazuva Beautiful Stand,35000,0,420,,Harare
d13b3a9722_0.webp,Borrowdale Pomona 3 Beds Clusters for Sale,230000,125,275,3,Borrowdale
64406f683c_0.webp,Stunning Retreat Home,530000,2000,2000,4,
5a0c316c44_0.webp,Incomplete house,70000,2500,2500,4,
e19da6397b_0.webp,Chitungwiza,20000,200,200,4,
3c92f4f8e3_0.webp,Finish To Your Own Taste The 4 Bedroomed House In Haydon Park,140000,850,1291,4,Harare
da89aacb1e_0.webp,3-Bed House For Sale In Westgate,160000,600,900,3,Harare
127deea2d6_0.webp,Stylish 2 Bedroom Garden Apartment in Prime Kensington,170000,150,500,2,Harare
d886a06628_0.webp,"Prime Residential Stand for Sale  Luna Road, Borrowdale",250000,0,4047,,Borrowdale
7af1054e7c_0.webp,Modern Family Home in Strathaven with Borehole  A Must-See,280000,180,500,3,Harare
2b38ade6d1_0.webp,"Mt Pleasant, near Arundel Village townhouse for sale",300000,207,570,4,Mt Pleasant
cd2cb532e2_0.webp,Spacious 3-Bedroom Townhouse Complex with Borehole in Greendale,221000,178,8000,3,Greendale
921d5ce2ef_0.webp,Serene 4-Bedroom Garden Flat in Chisipite with Borehole,425000,300,500,4,Harare
c8c6143ba0_0.webp,Prime Residential Stand for Sale,280000,0,4095,,Harare
b9fbd41786_0.webp,Development or Commercial Opportunity,580000,1000,8244,,Marlborough
458675a6a4_0.webp,"1,6 Hectare Agro-Residential Plot for Sale in Glen Forest",200000,16,16000,,Harare
40b204ccab_0.webp,"Reduced to sell Modern, newly built...",175000,300,1000,4,Harare
56f4749b52_0.webp,"Spacious 4-Bedroom Home with a Pool in Glen Lorne, Harare North",850000,620,11000,4,Harare
b201cba3dd_0.webp,Riddle Ridge house for sale,70000,250,400,4,Harare
073b777979_0.webp,Double-Storey Property With Commercial Potential,1500000,700,4051,5,Mount Pleasant
062d03d1c2_0.webp,Gletwin House Luxury Residential Property,340000,3771,3771,6,Harare
6b401c3dea_0.webp,Msasa commercial property for sale,650000,0,4140,8,Msasa
f26aa6ccc0_0.webp,"3-Bedroom House For Sale In Marlborough, Harare West",220000,0,0,3,Marlborough
443251e729_0.webp,Houses for sale,75000,280,670,5,Harare
14be36c5da_0.webp,All You Would Ever Want and More,895000,4047,4058,3,Mount Pleasant
d727300d55_0.webp,Make your dreams come true,210000,500,4002,5,Waterfalls
1b461eed8a_0.webp,Spacious Family Home with Cottages for Sale.,165000,4047,4047,3,Waterfalls
68ce52adcc_0.webp,Commercial Hub,3500000,920,920,,Bulawayo
2550f87b39_0.webp,Complete Unit shops for sale,74400,9,4000,,Harare
9841308fd0_0.webp,"School stand right on the high way ,partnerships are welcome",1500000,96600,96600,,
469240ab14_0.webp,Jetway Industrial Park is an exciting New Mixed Use Development.,170000,0,3000,,Harare
78cc978db1_0.webp,Smart Move,1000000,0,7047,4362,Harare
02acacef35_0.webp,Grab It And Go,35000,0,800,,Harare
d65b64e723_0.webp,Lifetime Opportunity,375000,500,5000,4,Greendale
2d3a56b6e9_0.webp,Prime CBD Commercial Property for Sale,420000,230,892,,Harare
0279199402_0.webp,Spitzkop Massive Land For Sale,2300000,30,315000,3,Harare
c55ea5ce9b_0.webp,"Kariba 21 acres of Prime Lakeshore Frontage, Ideal for Commercial Development.",1500000,350,84984,2,
ffa6bad6a5_0.webp,"Quinnington Borrowdale , Luxury 4-Bed Double-Storey Cluster Homes",350000,500,4000,4,Borrowdale
955d6e6fbb_0.webp,Spacious Double-House in Gunhills Secure Neighborhood,680000,250,2501,4,Kuwadzana
1f9256ef51_0.webp,Commercial property for sale,600000,1500,2000,,Harare
af4a8c5d24_0.webp,Perfect family home,210000,100,2000,5,Harare
6e0590debb_0.webp,"Commercial Property for Sale in Belgravia, Harare North",485000,3688,3688,3,Avondale
5f78ea174d_0.webp,"Charming 4-Bedroom House for Sale in Kuwadzana, Harare",50000,160,312,4,Kuwadzana
f57bb4b04c_0.webp,Avenues 2 bed flat up for grabs,55000,150,2000,2,Harare
86fd04aabc_0.webp,Greyston Park Stand For Sale,156000,0,3900,,Greystone Park
2d14acaa48_0.webp,Great Opportunity,650000,1000,6330,3,Harare
6a9ecb1881_0.webp,Monavale Beatiful Double Story,300000,320,4020,5,Harare
b1002fe80d_0.webp,Beautiful Complex,320000,0,140000,5,Harare
85ee8525c6_0.webp,Prominent Southerton Property,3000000,5261,12844,,Harare
a40e5f4978_0.webp,Well treed and serene land,1100000,0,140000,,Marlborough
02217b3cca_0.webp,Prime 450 m² Stands in Arcadia Your Future Awaits,35000,0,450,,Harare
b98143001e_0.webp,Stylishly-Polished home,295000,400,500,3,Greendale
c65b169dcd_0.webp,"Finish to your taste,3-Bed, 2-Bath Townhouse Complex in Bluff Hill, Harare West",84000,150,200,3,Harare
f122c7adb8_0.webp,Prime 2500 m² Stand for Sale in Exclusive Borrowdale,125000,0,2500,,Borrowdale
4894225c12_0.webp,Milton Park - $675000,675000,2982,9500,6,Milton Park
f021621b85_0.webp,Spacious 4-Bedroom Family Home in Eastlea with Borehole and Cottage,350000,250,1555,4,Eastlea
60dc95d941_0.webp,"9500m² Residential Land with a 4 bed house For Sale in Hogerty Hill, Borrowdale",550000,9500,9500,4,Borrowdale
34e3268d58_0.webp,"Glen Lorne. $870K. 8,200sqm. Infinite Possibility",870000,6000,8200,7,Harare
6fb9ce1174_0.webp,Nyabira low density Paarl luna estate stands for sale,30000,0,1200,,low density
6e2c57fef5_0.webp,Newly Built Shop,19000,0,500,,Harare
568b1b93d8_0.webp,Luxury Cluster Unit,230000,180,300,3,Borrowdale
f1bb84848c_0.webp,Ready To Move-In,280000,230,500,3,Avondale
e19e57e5c3_0.webp,Spacious Apartment for Sale  Prime Location in Harare,295000,225,32225,3,Newlands
ff894e606b_0.webp,Greendale North House for Sale Facing Eastern Road Harare Drive,350000,250,4047,5,Greendale
f633878d5b_0.webp,"3 Bedroom House for Sale in Kumalo, Bulawayo East",220000,255,2344,3,Bulawayo
a676ed25d0_0.webp,Gweru Nehosho 4-bedroom house for sale,36000,150,220,4,
e17d7b8189_0.webp,3 Bedroomed House for Sale in Westgate,210000,450,820,3,Harare
279d06b861_0.webp,10000 square meters available in Glenlorne,300000,0,10000,,Harare
bec5ae64b3_0.webp,"4-Bedroom Home with Extras  Great Potential, Secure Title.",250000,300,2100,4,Mount Pleasant
73fdcde001_0.webp,"Outstanding property, warehouses and offices",2200000,6524,28328,,Bulawayo
d092967990_0.webp,A House In a Prime Location In Chinhoyi,115000,250,2800,3,
132016c8aa_0.webp,"Prime 2550 m² Residential Land in Sunway City, Harare with Title Deeds",68000,0,2550,,Harare
6963986426_0.webp,Exciting Property For Holiday Home Or Resort,145000,0,5700,,Harare
7acc8f6199_0.webp,REDUCED Double-Storey Home in a Prime Location within Borrowdale Brooke Golf Estate,1300000,500,1916,4,Borrowdale
df11d0c995_0.webp,Haydon park Close to the New Parliament,150000,900,1291,4,Harare
42647fe8ff_0.webp,Elegant 4-Bedroom Home with a Solar back up power system in Prestigious Kennedy Dr On Show,390000,200,4326,4,Greendale
35659a2734_0.webp,Small Warehouse In New Ardbennie,95000,100,100,,Harare
22e0c5f097_0.webp,Commercial Serviced Stands For Sale In Sunway City,65000,0,10200,,Harare
4375946591_0.webp,Scenic Escape On Gletwyn Dam,990000,1000,8094,4,Harare
98892ffeab_0.webp,Townhouse for Sale along Hebert Chitepo,550000,220,890,4,Harare
9cda151111_0.webp,Piece Of Paradise Overlooking The Great Zambezi,120000,250,3222,4,
43b45b6e83_0.webp,morden contemporry,260000,150,500,3,Harare
006bc1df84_0.webp,Developers dream,2800000,300,33994,2,Harare
3632227956_0.webp,"Prime Investment Opportunity in Bradfield, Bulawayo",180000,331,1131,2,Bulawayo
7f37ecf05d_0.webp,"Industrial Property for Sale Factory, Warehouse, Offices and more",850000,3000,10417,,Harare
eb60843ef9_0.webp,Norton Knowe Stand,32000,0,2000,,
652f61af60_0.webp,Embrace the Charm of New Marlborough,100000,250,540,3,Marlborough
8942e87f77_0.webp,"Elegant Home for Sale in Milton Park, Harare",525000,495,2131,4,Milton Park
7d753d3ab9_0.webp,Live in Grandeur in the Folyjon Estate Reduced for a Quick Sale,640000,460,4300,6,Harare
ae56668b5f_0.webp,"Spacious 4-Bedroom House for Sale in Walled Seke, Mashonaland East",32000,300,300,4,
bdf33d8744_0.webp,House for sale in Mount Pleasant Heights,320000,600,1800,3,Mount Pleasant
722f3ffe7d_0.webp,Available stands for sale in Arlington East Choice of 3stands,93600,0,780,,harare
a93810af0a_0.webp,Brookview - $350k,350000,620,4000,7,Harare
181db184d2_0.webp,Keen Seller..... Reduced Price,400000,800,4000,3,Harare
ff65126402_0.webp,Now Selling,160000,0,1148,2,Harare
b6e3435591_0.webp,Stand For Sale With Clean Title Deeds,50000,0,2040,,Harare
bf387ac19e_0.webp,Stand For Sale In Scenic Charlotte Brooke,18000,0,1148,,Harare
407deb2832_0.webp,Glen Lorne stands for sale,40000,0,500,,Harare
8d091e7dfc_0.webp,Charming Family Home in Great Location,650000,400,3988,6,Greystone Park
87083b60d5_0.webp,Industrial Property With potential for expansion,230000,5081,5081,,
3b64738706_0.webp,"Flamboyant 2 Bed Apartments with stylish finishings Up For Grabs, VAT INCLUSIVE",160000,400,400,2,Harare
92b69868f4_0.webp,Neat as a pin,300000,600,4000,7,Bulawayo
d76949d04a_0.webp,Historic Hotel Centrally Located,1199000,1388,1388,,Bulawayo
a1fc812f0e_0.webp,Beautiful Views To Build Your Dream Home,997000,0,16000,,Harare
bcd89f3e02_0.webp,"IndustrialCommercial Stand for Sale  Sandton, Harare West",210000,800,4243,5,Harare
476ff6735f_0.webp,Prime Location - Grand Home With Two Cottages,560000,800,4647,5,Harare
f13b97acee_0.webp,Priced to go,425000,2012,2012,3,Harare
bc673d68f5_0.webp,Plumtree Stand for Sale  1 Hectare,120000,0,10000,,
5b06b0b964_0.webp,Newly Built Cluster In Exclusive Gated Community,185000,100,365,3,Harare
381e980679_0.webp,Modern Secure Townhouses In Marlborough,220000,155,350,3,Marlborough
ce708885c5_0.webp,Commercial Property for Sale in Greendale,330000,721,4280,3,Greendale
d81a185321_0.webp,Modern 3 Bed Apartments For Sale,220000,120,8000,3,Msasa
5b52880463_0.webp,Stand for sale in Crowhill,15000,0,1000,,Harare
70225a0afa_0.webp,House for sale I Glendale,27000,800,800,3,
6f0659ffc6_0.webp,Reduced To Go,150000,100,450,3,Avondale
0cce998e10_0.webp,Pomona City Stands for Sale,175000,0,1965,,Harare
0bcc248f84_0.webp,Beatrice Farm for sale,320000,0,1400000,,harare
e139e26731_0.webp,Charming 3-Bedroom Home in Murewa Town Centre,20000,200,200,3,
2a7eb2d91c_0.webp,Stunning 4-Bedroom Townhouse Complex with Borehole in Marlborough,200000,197,350,4,Marlborough
f54a34401c_0.webp,Unit K retail store for sale,70000,0,2231,,Harare
432ddb1c98_0.webp,Rydale Ridge Property for Sale,70000,437,437,4,Harare
65b56b0a9e_0.webp,Strategic Gweru CBD Property  Corner Location,2700000,2231,3844,,
917c7f4523_0.webp,"Stand For Sale In Silverbrook Estate, Ruwa",51000,0,1123,,
3e56f483f2_0.webp,Solid Spacious House,290000,3844,3844,4,Harare
7600da6a84_0.webp,A house for sale,150000,250,1700,4,Harare
b55e269bda_0.webp,Colne Valley 8 Bedrooms 5 Bathrooms with Borehole On Show,660000,1406,4277,8,Harare
2be6fa4deb_0.webp,Land For Sale  Glaudina,2500000,209,48000,3,Mount Pleasant
428089b698_0.webp,Best Value For Money,235000,209,1406,3,Eastlea
75bd6e7a9a_0.webp,Fixer Upper Ideal For Commercial Use,360000,200,2000,,Milton Park
546621744c_0.webp,Work in progress,105000,700,1005,5,Harare
4e9af299ef_0.webp,Commercial Building in Kaguvi Street,400000,452,452,,Harare
e4e987cdcc_0.webp,Risen Opportunity in the Willowvale Industrial zone,2400000,0,21600,,Harare
670b6de7ee_0.webp,"Charming 3-Bedroom Townhouse with Borehole in Waterfalls, Harare",100000,150,300,3,Waterfalls
6aa5888e9c_0.webp,Value for money,1200000,0,41000,,Bulawayo
3a549332c8_0.webp,Residential stand for sale,14250,0,475,,
90ed819dd8_0.webp,Goromonzi Commercial Property For Sale,130000,800,1142,,Harare
f59eb8a4c9_0.webp,Expansive 2213m² Residential Land in Mount Pleasant Heights,125000,0,2213,,Mount Pleasant
085642bc18_0.webp,14.1 Hectares of Prime Land For Sale in Marlborough,1600000,0,141000,,Marlborough
fc9149f520_0.webp,Mt pleasent heights house for sale,450000,491,2160,7,Mt Pleasant
cf5403c6d7_0.webp,Plumtree Stands For Sale,8000,0,300,,
60970e34d6_0.webp,Superb Opportunity,95000,450,450,1,Harare
c7622cfc10_0.webp,Norton Nharira house for sale,125000,450,4419,5,Bulawayo
af7ebd03c4_0.webp,Commercial land for sale,530000,14399,14399,4,Harare
3b222bdd8c_0.webp,Excellent Location and Rental Return Msasa,1600000,3859,3859,,Msasa
,Prime 1800m² Stand in Sandton Park with Essential Amenities,65000,0,1800,,Harare
fe953e86b8_0.webp,"Charming 3-Bed Flat Cluster with Borehole in Greendale, Harare",215000,0,12000,3,Greendale
bb022f4f49_0.webp,Family home in Glen Lorne with views and trees,550000,400,7033,4,Harare
15c9171e55_0.webp,Prime commercialIndustrial stand for Sale,1200000,12000,12000,,Harare
19afa0ace0_0.webp,"Immaculate Home In Broadlands, Mount Pleasant",370000,400,2000,4,Mount Pleasant
e81482d8cc_0.webp,Magnificent Family Home In Gunhill,695000,3460,17600,9,Harare
f013638e89_0.webp,6150 Sqm Land in Trenance,45000,0,6150,,Bulawayo
b5dcd07fe5_0.webp,Hidden Gem With Scenic Views,597000,0,17600,,Borrowdale
84d5c8ea3a_0.webp,5-Bedroom House For Sale In Carrick Creagh Estate,650000,2000,2000,5,Harare
34e1036cc3_0.webp,Massive piece of land for Sale in Grange,2700000,0,128000,,The Grange
99bf30a548_0.webp,Elegant Living in Colne Valley  Dragons on 52,350000,506,6000,,Harare
11bd7edd72_0.webp,Commercial Building In The Cbd,6500000,7150,7150,2,Harare
da3dda0994_0.webp,"Charming Mountain Retreat for Sale  Nyanga, Zimbabwe",280000,250,44516,3,
f7d6694670_0.webp,"Thriving 2.23 Hectare Farm with Borehole in Norton, Zimbabwe",160000,0,22300,,
c97cd69c7d_0.webp,Dont Miss Out On This Fantastic Opportunity,240000,300,1220,4,Harare
5e9121dd76_0.webp,Reduced To Go,400000,350,4000,5,Greendale
329755953d_0.webp,"2145 m² Stand in Knowe with title deeds, Norton ",30000,0,2145,,
a067de82e7_0.webp,Off-Plan Luxury 4-Bed Cluster Homes in Hatfield  Pay 50 Deposit,140000,139,5000,4,Hatfield
d1f4351241_0.webp,Your New Address,175000,0,1856,3,Bulawayo
4c068c3581_0.webp,Your Next Business Address Unrivaled Commercial Property on Churchill Avenue,900000,260,2858,,Harare
cd7783baf6_0.webp,"Incomplete Spacious 6-Bedroom Home with Borehole in Arlington, Harare",220000,0,0,6,Harare
3afec2ced5_0.webp,"Nyanga Lodge Spacious, Furnished  Borehole Equipped Oasis",710000,8000,50000,3,
5e04827ca8_0.webp,Great Investment Opportunity,85000,0,2033,,Harare
5bc20b46e9_0.webp,Cromlet - Jeans Walk -VIEWS,550000,6.3,63000,5,Msasa
11afeb52d0_0.webp,Sawara Hill Crowhill Stands For Sale,18750,0,1200,,Borrowdale
3d6d3c3144_0.webp,"Boulders Estate,Ruwa  Residential Grandeur",62510,90,2113,3,Borrowdale
c062c9d8d3_0.webp,Investment Opportunity,110000,90,200,3,Hillside
279f413da9_0.webp,Westgate Haydon park 90 complete 4beds all beds ensuites house 4sale,125000,500,1291,4,Harare
414bd6cefc_0.webp,Elegant 4-Bedroom Home with Pool and Borehole in Selbourne Park,150000,600,1200,4,Bulawayo
